timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1679645264898,655,home_page,200,OK,Thread Group 1-5,text,true,,8200,114,17,17,https://flooded.io/,655,0,0
1679645265006,563,home_page,200,OK,Thread Group 1-29,text,true,,8200,114,16,16,https://flooded.io/,563,0,0
1679645265107,560,home_page,200,OK,Thread Group 1-1,text,true,,8200,114,16,16,https://flooded.io/,560,0,0
1679645265112,560,home_page,200,OK,Thread Group 1-12,text,true,,8200,114,15,15,https://flooded.io/,560,0,0
1679645265365,577,home_page,200,OK,Thread Group 1-31,text,true,,8200,114,15,15,https://flooded.io/,577,0,0
1679645265186,756,home_page,200,OK,Thread Group 1-47,text,true,,8200,114,15,15,https://flooded.io/,756,0,123
1679645265583,561,home_page,200,OK,Thread Group 1-28,text,true,,8200,114,13,13,https://flooded.io/,561,0,0
1679645265624,555,home_page,200,OK,Thread Group 1-7,text,true,,8200,114,12,12,https://flooded.io/,555,0,0
1679645265561,660,home_page,200,OK,Thread Group 1-43,text,true,,8200,114,11,11,https://flooded.io/,660,0,0
1679645265684,553,home_page,200,OK,Thread Group 1-12,text,true,,8200,114,10,10,https://flooded.io/,553,0,0
1679645265770,572,home_page,200,OK,Thread Group 1-35,text,true,,8200,114,10,10,https://flooded.io/,572,0,0
1679645265793,575,home_page,200,OK,Thread Group 1-37,text,true,,8200,114,9,9,https://flooded.io/,575,0,0
1679645265773,651,home_page,200,OK,Thread Group 1-29,text,true,,8200,114,8,8,https://flooded.io/,651,0,0
1679645265865,559,home_page,200,OK,Thread Group 1-6,text,true,,8200,114,8,8,https://flooded.io/,559,0,0
1679645266238,630,home_page,200,OK,Thread Group 1-18,text,true,,8200,114,6,6,https://flooded.io/,630,0,0
1679645266251,624,home_page,200,OK,Thread Group 1-15,text,true,,8200,114,5,5,https://flooded.io/,624,0,0
1679645266466,583,home_page,200,OK,Thread Group 1-30,text,true,,8200,114,4,4,https://flooded.io/,583,0,0
1679645266552,560,home_page,200,OK,Thread Group 1-12,text,true,,8200,114,3,3,https://flooded.io/,560,0,0
1679645266556,564,home_page,200,OK,Thread Group 1-26,text,true,,8200,114,2,2,https://flooded.io/,564,0,0
1679645266853,560,home_page,200,OK,Thread Group 1-19,text,true,,8200,114,1,1,https://flooded.io/,560,0,0
